authors,title,journal,year,doi
"Lau E, Cao Q, Ng DCM, Bleakley BJ, Dincer TU, **Bot BM**, Wang D, Liem D, Lam MPY, Ge J, Ping P","A large dataset of protein dynamics in the mammalian heart proteome","Nature Scientific Data","2016","10.1038/sdata.2016.15"
"Cokelaer T, Bansal M, Bare C, Bilal E, **Bot BM**, Chaibub Neto E, Eduati F, Gönen M, Hill SM, Hoff B, Karr JR, Küffner R, Menden MP, Meyer P, Norel R, Pratap A, Prill RJ, Weirauch MT, Costello JC, Stolovitzky G, Saez-Rodriguez J","DREAMTools: a Python package for scoring collaborative challenges","F1000Research","2015","10.12688/f1000research.7118.1"
"Commo F, Guinney J, Ferté C, **Bot B**, Lefebvre C, Soria JC, André F","rCGH: a comprehensive array-based genomic profile platform for precision medicine","Bioinformatics","2015","10.1093/bioinformatics/btv718"
"Karr JR, Williams AH, Zucker JD, Raue A, Steiert B, Timmer J, Kreutz C, DREAM8 Parameter Estimation Challenge Consorium, Wilkinson S, Allgood BA, **Bot BM**, Hoff BR, Kellen MR, Covert MW, Stolovitzky GA, Meyer P","Summary of the DREAM8 parameter estimation challenge: toward parameter identification for whole-cell models","PLoS Comput Biol","2015","10.1371/journal.pcbi.1004096"
"Sinocrope FA, Shi Q, Smyrk TC, Thibodeau SN, Dienstmann R, Guinney J, **Bot BM**, Tejbar S, Delorenzi M, Goldberg RM, Mahoney MR, Sargent DJ, Alberts SR","Molecular markers identify subtypes of stage III colon cancer associated with patient outcomes","Gastroenterology","2015","10.1053/j.gastro.2014.09.041"
"Eckel-Passow JE, Serie DJ, **Bot BM**, Joseph RW, Cheville JC, Parker AS","ANKS1B is a smoking-related molecular alteration in clear cell renal cell carcinoma","BMC Urology","2014","10.1186/1471-2490-14-14"
"Eckel-Passow JE, Serie DJ, **Bot BM**, Joseph RW, Hart S, Cheville JC, Parker AS","Somatic expression of ENRAGE is associated with obesity status among patients with clear cell renal cell carcinoma","Carcinogenesis","2014","10.1093/carcin/bgt485"
"Ferté C, Fernandez M, Hollebecque A, Koscielny S, Levy A, Massard C, Balheda R, **Bot B**, Gomez-Roca C, Dromain C, Ammari S, Soria JC","Tumor growth rate is an early indicator of anti-tumor drug activity in phase I trials","Clin Cancer Res","2014","10.1158/1078-0432.CCR-13-2098"
"Shi Q, Andre T, Grothey A, Yothers G, Hamilton S, **Bot B**, Haller D, Van Cutsem E, Twelves C, Benedetti J, O’Connell M, Sargent D","Comparison of outcomes after 5-fluorouracil-based adjuvant therapy for stage II and III colon cancer between 1978-1995 and 1996-2007: findings from the ACCENT database","J Clin Oncol","2013","10.1200/JCO.2013.49.4344"
"Ferté C, Trister A, Huang E, *Bot B*, Guinney J, Commo F, Sieberts S, Andre F, Besse B, Soria JC, Friend S","Impact of bioinformatic procedures in the development and translation of high-throughput molecular classifiers in oncology","Clin Cancer Res","2013","10.1158/1078-0432.CCR-12-3937"
"Haralambieva IH, Oberg AL, Ovsyannikova IG, Kennedy RB, Grill DE, Middha S, **Bot BM**, Wang VW, Smith DI, Jacobson RM, Poland GA","Genome-wide characterization of transcriptional patterns in high and low antibody responders to rubella vaccination","PLoS One","2013","10.1371/journal.pone.0062149"
"Wu W, **Bot B**, Hu Y, Geyer S, Sargent D","A phase II flexible screening design allowing for interim analysis and comparison with historical control","Contemporary Clinical Trials","2013","10.1016/j.cct.2013.05.007"
"Blanke C, **Bot B**, Thomas D, Bleyer A, Kohne C, Seymour M, de Gramont A, Goldberg R, Sargent D, LIVESTRONG Young Adult Alliance (LSYAA)","Impact of young age on efficacy and safety in advanced colorectal cancer: a pooled analysis examining 6,286 patients from nine first-line phase III chemotherapy trials","J Clin Oncol","2011","10.1200/JCO.2010.33.5281"
"Sargent D, Resnick M, Meyers M, Goldar-Najafi A, Clancy T, Gill S, Siemons G, Shi Q, **Bot B**, Wu T, Beaudry G, Desaulniers M, Haince J, Fradet Y","Evaluation of Guanylyl Cyclase C lymph node status for colon cancer staging and prognosis","Ann Surg Oncol","2011","10.1245/s10434-011-1731-2"
"Shi Q, Renfro L, **Bot B**, Burzykowski T, Buyse M, Sargent D","Comparative assessment of trial-level surrogacy measures for candidate time-to-event surrogate endpoints in clinical trials","Computational Statistics and Data Analysis","2011","10.1016/j.csda.2011.03.014"
"Sun Z, Asmann Y, Kalari K, **Bot B**, Eckel-Passow J, Baker T, Carr J, Khrebtukova I, Luo S, Zhang L, Schroth G, Perez E, Thompson A","Integrated analysis of gene expression, CpG island methylation, and gene copy number in breast cancer cells by deep sequencing","PLoS One","2011","10.1371/journal.pone.0017490"
"Hillman S, Mandrekar S, **Bot B**, DeMatteo R, Perez E, Ballman K, Nelson H, Buckner J, Sargent D","An evaluation of the value of attribution in the interpretation of adverse event data: a North Central Cancer Treatment Group (NCCTG) and American College of Surgeons Oncology Group (ACOSOG) investigation","J Clin Oncol","2010","10.1200/JCO.2009.27.4282"
"Cunningham J, Oberg A, Borralho P, Kren B, French A, Wang L, **Bot B**, Morlan B, Silverstein K, Staggs R, Zeng Y, Lamblin A, Hilker C, Fan J, Steer C, Thibodeau S","Evaluation of a new high dimensional miRNA profiling platform","BMC Med Genomics","2009","10.1186/1755-8794-2-57"
"Mandrekar S, Northfelt D, Schild S, Foster N, **Bot B**, Marks R, Mailliard J, Krook J, Maksymiuk A, Adjei A, Jett J","Impact of pretreatment factors on adverse events: a pooled analysis of North Central Cancer Treatment Group advanced stage non-small cell lung cancer trials","J Thorac Oncol","2006","10.1016/S1556-0864(15)30359-2"
